missing_ratio,method,scale,bucket,group,channels,eval_points,rmse,mae,crps,model_kind,protocol_key,mask_family,severity,requested_missing_ratio,actual_missing_ratio
0.1,csdi,original,all,differenced,8,9647,2.382821119142121e-07,5.835710086120285e-09,5.513341812237624e-09,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,all,non_differenced,68,83793,0.03135804133087182,0.004259641612033669,0.003667420240898968,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,anomaly_rare,all_channels,76,2133,0.07914651125469253,0.023344408121299256,0.019490856183630535,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,anomaly_rare,continuous,44,1618,0.07456130140013244,0.021037931488400927,0.018503907707405183,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,anomaly_rare,discrete_like,32,515,0.09207833184527489,0.030590775484463328,0.0225915991633055,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,anomaly_rare,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,anomaly_rare,differenced,8,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,anomaly_rare,non_differenced,68,2133,0.07914651125469253,0.023344408121299256,0.019490856183630535,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,held,all_channels,76,46130,0.017007106878002345,0.001396168394993802,0.0011563977545157153,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,held,continuous,44,33370,0.017122281747104826,0.0015252577059309737,0.0012965457738037783,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,held,discrete_like,32,12760,0.016702147054494684,0.0010585735434284873,0.0007898821272709913,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,held,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,held,differenced,8,7604,2.2330196956985734e-07,4.444298444881578e-09,4.180964653886023e-09,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,held,non_differenced,68,38526,0.018609950077638063,0.001671733745175173,0.0013846388574924654,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,nominal,all_channels,76,91307,0.02749671517543725,0.0033637572370754376,0.0029102938554465795,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,nominal,continuous,44,52423,0.007468430883267056,0.0007500756763372979,0.0006203924732875187,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,nominal,discrete_like,32,38884,0.04123342701238335,0.006887495238787595,0.00599751482440359,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,nominal,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
