missing_ratio,method,scale,bucket,channel,eval_points,rmse,mae,crps,crps_scaled_by_abs_target,value_type,near_constant,differenced
0.03,csdi,normalized,all,channel_37,381,0.049088994259771736,0.011297825811885473,0.009600854883005704,0.009000132187487454,continuous,False,False
0.03,csdi,normalized,all,channel_38,358,0.719512378203322,0.12414675992627383,0.12548246075090058,0.08855647318235457,continuous,False,False
0.03,csdi,normalized,all,channel_39,343,1.0240818443787179,0.09495743869127754,0.09742716018788462,0.0905933558959858,continuous,False,False
0.03,csdi,normalized,all,channel_40,365,2.458345641285437,0.13466953978146592,0.08770181211107762,0.09766797056937083,continuous,False,False
0.03,csdi,normalized,all,channel_41,386,2.359530991130513,0.49573188186309497,0.4421397286017974,0.1940891352249169,discrete_like,False,False
0.03,csdi,normalized,all,channel_42,351,1.2621554550906529,0.3294096217196212,0.3433501314037224,0.29293319796730016,continuous,False,False
0.03,csdi,normalized,all,channel_43,341,1.9522731186422078,0.37828839279689397,0.2991243978675675,0.16816584856598532,discrete_like,False,False
0.03,csdi,normalized,all,channel_44,362,4.920369515068817,0.5459402753503283,0.41130071170422255,0.3887854547500757,discrete_like,False,False
0.03,csdi,normalized,all,channel_45,360,2.451284578796414,0.35808216598298814,0.34014727061952066,0.22446740875863522,discrete_like,False,False
0.03,csdi,normalized,all,channel_46,389,2.987062447635054,0.6078084060649332,0.5150692223083213,0.35182622499541494,discrete_like,False,False
0.03,csdi,normalized,all,channel_47,332,0.6384113160066062,0.0775876433016306,0.15980567831573234,0.18091196585985167,discrete_like,False,False
0.03,csdi,normalized,all,channel_48,427,1.1003494307802997,0.11414460699996569,0.16304294365857327,0.16913411192974193,discrete_like,False,False
0.03,csdi,normalized,all,channel_49,348,0.04829040694678613,0.02039709053505426,0.017608928853613242,0.02418245591020775,discrete_like,False,False
0.03,csdi,normalized,all,channel_50,377,2.856527263852392,0.22996015653053709,0.16060390016686837,0.1667119664627291,discrete_like,False,False
0.03,csdi,normalized,all,channel_51,347,4.437731872523211,0.4300005431971392,0.34024456278027576,0.2984458643524345,discrete_like,False,False
0.03,csdi,normalized,all,channel_52,343,2.5353618993802325,0.15624733582008685,0.1471764081240201,0.17435921221536577,discrete_like,False,False
0.03,csdi,normalized,all,channel_53,383,1.0164711661442019,0.3343741258815437,0.32802125300469265,0.6837811438666608,discrete_like,False,False
0.03,csdi,normalized,all,channel_54,385,1.0636518554086227,0.4107014142073594,0.38372135506872845,0.5024705093302909,discrete_like,False,False
0.03,csdi,normalized,all,channel_55,385,1.0803034164214036,0.382993584484249,0.353021271083751,0.5697912541841494,discrete_like,False,False
0.03,csdi,normalized,all,channel_56,420,1.057746934867866,0.6780570189158122,0.4914524011145857,0.4785004288343167,discrete_like,False,False
0.03,csdi,normalized,all,channel_57,380,5.0874572388650945,0.39634576922184545,0.2514976565323646,0.13700842492619175,continuous,False,False
