method,method_label,mask_family,mask_label,channel_index,channel,normalized_rmse,normalized_mae,evaluation_points
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,42,channel_43,3.77013532910894,2.7111731219663167,7104
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,43,channel_44,1.6612186034875442,1.3009093357606145,5184
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,44,channel_45,0.8722491270529467,0.698884878874208,5664
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,45,channel_46,1.4911017623087262,1.2006274017270386,5952
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,46,channel_47,0.6253879463000213,0.4972104733015018,5952
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,47,channel_48,0.7022740554362211,0.5617863437733243,5184
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,48,channel_49,0.7162848755093442,0.48101250939694784,7200
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,49,channel_50,0.5827796413302571,0.4561662050305548,7200
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,50,channel_51,0.6317325463119439,0.4905594163660511,6624
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,51,channel_52,0.7717600796899867,0.5446175737784033,6240
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,52,channel_53,0.9692352542425524,0.4894818762406002,6912
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,53,channel_54,1.0284907389514197,0.6222010041334355,7392
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,54,channel_55,0.9797422908483645,0.5859688688592022,6912
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,55,channel_56,0.988399859845901,0.6846119148088065,6432
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,56,channel_57,0.5907234694139213,0.4802983943328663,5568
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,57,channel_58,0.5703999194569486,0.4442078535270913,6144
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,58,channel_59,0.7970823393602984,0.5511395045930094,6048
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,59,channel_60,0.5838456720531854,0.44221996857639306,5952
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,60,channel_61,0.706409398187444,0.5751852897186636,5952
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,61,channel_62,0.6276645881961554,0.4138074731483025,6816
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,62,channel_63,0.6631015071500249,0.4672977126427163,5952
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,63,channel_64,1.436544752891601,0.20014486273338283,6720
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,64,channel_65,0.48046157358738584,0.06110929722433164,6528
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,65,channel_66,0.8970862470368882,0.7611148054623108,7008
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,66,channel_67,0.011543313086260604,0.011030289934373,5664
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,67,channel_68,0.005556826171664797,0.0021169466919009486,6144
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,68,channel_69,0.01508249350210736,0.003230376949649994,6432
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,69,channel_70,0.9382040934549536,0.7648088260622002,5856
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,70,channel_71,0.8706121598125555,0.7559021274934341,6624
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,71,channel_72,0.8569707297871948,0.7140407486751199,5856
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,72,channel_73,0.9503338451095655,0.7914707443529433,4800
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,73,channel_74,0.9296431041984381,0.7411190540820951,6048
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,74,channel_75,0.8070590599966168,0.6194683980846246,6240
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,75,channel_76,0.8418934680604423,0.672179012756029,6144
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,0,channel_1,0.025601773755718267,0.023839430157038807,6868
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,1,channel_2,0.024624692461145854,0.02197437757302477,6868
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,2,channel_3,0.06036279512838386,0.032045047201631094,5848
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,3,channel_4,0.0026446394406323607,0.002480642392881376,6324
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,4,channel_5,0.0029906465812059133,0.002797332779805886,6188
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,5,channel_6,0.0025868894110167334,0.002425657323399997,6120
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,6,channel_7,0.0030615970845010946,0.002859026401021082,5984
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,7,channel_8,0.0023849561941480042,0.0020008563666444605,6936
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,8,channel_9,0.002633549400149485,0.002419674367658051,5440
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,9,channel_10,0.00608369082422437,0.005002403374638194,6528
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,10,channel_11,0.0010585668369659453,0.0009784883929255669,6800
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,11,channel_12,0.6942653104688479,0.6029444357791436,6188
