window_index,window_start,method,method_label,mask_family,mask_label,normalized_rmse,normalized_mae,evaluation_points
2,5914521,global_mean,零值基线,rectangle_50,矩形缺失 50%,0.927842774520445,0.7564761310897987,3672
2,5914521,raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,0.9002377958051205,0.7212619309531525,3648
2,5914521,diff_pearson,一阶差分 Pearson Top-8,time_block_50,时间块缺失 50%,0.9056804082340709,0.7249164801850857,3648
2,5914521,spearman,Spearman Top-8,time_block_50,时间块缺失 50%,0.8977061599942215,0.7184136153831918,3648
2,5914521,random,随机 Top-8,time_block_50,时间块缺失 50%,0.9189281542460964,0.7380034520356223,3648
2,5914521,shuffled,打乱原值图,time_block_50,时间块缺失 50%,0.9190217658869736,0.7355846964428603,3648
2,5914521,global_mean,零值基线,time_block_50,时间块缺失 50%,0.8968770286440304,0.7183181445052629,3648
3,5926117,raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.8152108970735676,0.5773996285645514,3648
3,5926117,diff_pearson,一阶差分 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.8336250416130421,0.6124630010739102,3648
3,5926117,spearman,Spearman Top-8,channel_dropout_50,通道丢失 50%,0.7698404124099542,0.5730166627565026,3648
3,5926117,random,随机 Top-8,channel_dropout_50,通道丢失 50%,0.939402993667413,0.7406264205159834,3648
3,5926117,shuffled,打乱原值图,channel_dropout_50,通道丢失 50%,0.9122352815783971,0.6889173038206259,3648
3,5926117,global_mean,零值基线,channel_dropout_50,通道丢失 50%,0.9594353692913796,0.8059471142551047,3648
3,5926117,raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,1.2572325610459365,0.6499995235898642,3672
3,5926117,diff_pearson,一阶差分 Pearson Top-8,rectangle_50,矩形缺失 50%,0.8696363430568992,0.554540901953481,3672
3,5926117,spearman,Spearman Top-8,rectangle_50,矩形缺失 50%,0.824949240873451,0.5300246385454532,3672
3,5926117,random,随机 Top-8,rectangle_50,矩形缺失 50%,0.9004426354398419,0.6042924813236338,3672
3,5926117,shuffled,打乱原值图,rectangle_50,矩形缺失 50%,0.9140252473473253,0.6278658950292779,3672
3,5926117,global_mean,零值基线,rectangle_50,矩形缺失 50%,0.956440938848047,0.715822421245923,3672
3,5926117,raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,1.010567747107406,0.7543523421289746,3648
3,5926117,diff_pearson,一阶差分 Pearson Top-8,time_block_50,时间块缺失 50%,1.015225168624623,0.7576782949827272,3648
3,5926117,spearman,Spearman Top-8,time_block_50,时间块缺失 50%,1.0067633647419219,0.7496717491083151,3648
3,5926117,random,随机 Top-8,time_block_50,时间块缺失 50%,1.0317067088672984,0.7721400797316712,3648
3,5926117,shuffled,打乱原值图,time_block_50,时间块缺失 50%,1.0293926268391864,0.7689251158987459,3648
3,5926117,global_mean,零值基线,time_block_50,时间块缺失 50%,1.0079436020265289,0.7509585277765948,3648
4,5937713,raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.7436903653431218,0.5300688096888281,3648
4,5937713,diff_pearson,一阶差分 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.7212919978929433,0.536820773092898,3648
4,5937713,spearman,Spearman Top-8,channel_dropout_50,通道丢失 50%,0.7294233867503591,0.5278929808248491,3648
4,5937713,random,随机 Top-8,channel_dropout_50,通道丢失 50%,1.0047455256438633,0.6422988374423313,3648
4,5937713,shuffled,打乱原值图,channel_dropout_50,通道丢失 50%,0.7967904974181232,0.5776253872576089,3648
