method,method_label,mean_edge_jaccard,min_edge_jaccard,mean_channel_neighbor_jaccard,mean_correlation_weight_spearman
diff_pearson,一阶差分 Pearson Top-8,0.3879839736413677,0.37318840579710144,0.4752627002627003,0.13060599070394216
raw_pearson,原值 Pearson Top-8,0.4315455183654772,0.33633633633633636,0.5136087596613913,0.704206021958499
