epoch=84 train_loss=28.319313 valid_mae=0.276233 valid_auc=0.799601
epoch=85 train_loss=28.273152 valid_mae=0.277118 valid_auc=0.832194
epoch=86 train_loss=28.230183 valid_mae=0.276020 valid_auc=0.782621
epoch=87 train_loss=28.212300 valid_mae=0.275549 valid_auc=0.790940
epoch=88 train_loss=28.214146 valid_mae=0.276552 valid_auc=0.789858
epoch=89 train_loss=28.379495 valid_mae=0.277368 valid_auc=0.798120
epoch=90 train_loss=28.316595 valid_mae=0.276237 valid_auc=0.794644
epoch=91 train_loss=28.127353 valid_mae=0.277043 valid_auc=0.797436
epoch=92 train_loss=28.474586 valid_mae=0.277234 valid_auc=0.810826
epoch=93 train_loss=28.158107 valid_mae=0.276359 valid_auc=0.810142
epoch=94 train_loss=28.098626 valid_mae=0.276955 valid_auc=0.796695
epoch=95 train_loss=27.982967 valid_mae=0.276578 valid_auc=0.805299
epoch=96 train_loss=27.969377 valid_mae=0.276800 valid_auc=0.800228
epoch=97 train_loss=27.981923 valid_mae=0.277217 valid_auc=0.791681
epoch=98 train_loss=27.947480 valid_mae=0.276410 valid_auc=0.792536
epoch=99 train_loss=27.934833 valid_mae=0.276475 valid_auc=0.830826
epoch=100 train_loss=27.909707 valid_mae=0.276055 valid_auc=0.786097
epoch=101 train_loss=28.031148 valid_mae=0.278101 valid_auc=0.792479
epoch=102 train_loss=27.975476 valid_mae=0.277003 valid_auc=0.794416
epoch=103 train_loss=28.250122 valid_mae=0.278221 valid_auc=0.770484
epoch=104 train_loss=28.033538 valid_mae=0.277728 valid_auc=0.785641
epoch=105 train_loss=27.906489 valid_mae=0.277578 valid_auc=0.805299
epoch=106 train_loss=27.826741 valid_mae=0.277378 valid_auc=0.793732
epoch=107 train_loss=27.824113 valid_mae=0.277966 valid_auc=0.799658
epoch=108 train_loss=27.857202 valid_mae=0.277266 valid_auc=0.794473
epoch=109 train_loss=27.819085 valid_mae=0.277473 valid_auc=0.795670
epoch=110 train_loss=27.763796 valid_mae=0.276938 valid_auc=0.800228
epoch=111 train_loss=27.737745 valid_mae=0.277542 valid_auc=0.797322
epoch=112 train_loss=27.755109 valid_mae=0.278414 valid_auc=0.813105
epoch=113 train_loss=27.814248 valid_mae=0.284883 valid_auc=0.806382
epoch=114 train_loss=28.903799 valid_mae=0.283532 valid_auc=0.803134
epoch=115 train_loss=28.487922 valid_mae=0.281198 valid_auc=0.801311
epoch=116 train_loss=28.145823 valid_mae=0.279442 valid_auc=0.796695
epoch=117 train_loss=27.913361 valid_mae=0.279205 valid_auc=0.795613
epoch=118 train_loss=27.784092 valid_mae=0.276123 valid_auc=0.828433
