context_steps,context_minutes,n_fft,hop_length,frame_minutes,hop_minutes,frequency_bins,center_false_frames,recommended
192,96.0,32,8,16.0,4.0,17,21,False
192,96.0,64,16,32.0,8.0,33,9,True
192,96.0,96,24,48.0,12.0,49,5,False
192,96.0,128,32,64.0,16.0,65,3,False
