horizon_steps,window_minutes,missing_ratio,method,comparisons,median_spectral_cosine,q25_spectral_cosine,q75_spectral_cosine,dominant_peak_preservation_rate,median_high_frequency_inflation,context
96,48.0,0.1,linear,3617,0.9920732019268035,0.9633924728128891,0.9998688657982985,0.7904340613768316,-0.0009710271055017421,96步 / 10%
96,48.0,0.1,zero,3617,0.9014811981426741,0.8399085078207558,0.9684396808638172,0.413602432955488,-0.03600205296133676,96步 / 10%
96,48.0,0.5,linear,3617,0.8856722136455312,0.8035674536866219,0.9317919943946078,0.3513961846834393,-0.026489153108369863,96步 / 50%
96,48.0,0.5,zero,3617,0.8698485583396263,0.7963254344668672,0.9151615485662462,0.3110312413602433,-0.05020256498057185,96步 / 50%
96,48.0,0.9,linear,3617,0.37887638159272147,0.27632774882788536,0.5295724524895951,0.22477191042300249,-0.06473934705823502,96步 / 90%
96,48.0,0.9,zero,3617,0.4977915025070545,0.3861029391155687,0.6247065433595215,0.22753663256842688,-0.06450744328278321,96步 / 90%
192,96.0,0.1,linear,3680,0.9927473244029433,0.9693776854059488,0.9993893062646746,0.775,-0.0006842159206267538,192步 / 10%
192,96.0,0.1,zero,3680,0.8942109832753429,0.8313892359777174,0.976101086107719,0.3864130434782609,-0.036550891627209814,192步 / 10%
192,96.0,0.5,linear,3680,0.8922820473547637,0.8245475796623358,0.9302584500823459,0.24456521739130435,-0.017267130523632723,192步 / 50%
192,96.0,0.5,zero,3680,0.8580830870842134,0.7780799596113943,0.9158044121983142,0.29836956521739133,-0.050653249926430124,192步 / 50%
192,96.0,0.9,linear,3680,0.37388688446221807,0.2538406684723148,0.5212042827173583,0.1108695652173913,-0.059618353760878665,192步 / 90%
192,96.0,0.9,zero,3680,0.4815474476883378,0.3669655841474922,0.6067547046922523,0.11494565217391305,-0.06018962119367752,192步 / 90%
384,192.0,0.1,linear,3733,0.9916704580670126,0.9709378673219892,0.9987240042112957,0.7535494240557192,-0.0007181413519625202,384步 / 10%
384,192.0,0.1,zero,3733,0.9040257748702571,0.8405128668955613,0.9782720586517973,0.38360567907848914,-0.03677734245279726,384步 / 10%
384,192.0,0.5,linear,3733,0.890698797066424,0.840406516845688,0.9264679566447579,0.24832574336994376,-0.01639476145538652,384步 / 50%
384,192.0,0.5,zero,3733,0.8497681139069596,0.7772590659623166,0.9103387401547263,0.3525314760246451,-0.048930077239281985,384步 / 50%
384,192.0,0.9,linear,3733,0.37723478963296686,0.254068315337848,0.5271794449914706,0.1623359228502545,-0.056642647938975076,384步 / 90%
384,192.0,0.9,zero,3733,0.48279295094121155,0.37213200915055633,0.6152739082088713,0.1695687114920975,-0.05755009997650165,384步 / 90%
