group,error_metric,channels,spearman_rho,p_value,selected_horizon_steps
all_channels,mae,68,0.39346046104868476,0.0009021762098954342,192
all_channels,rmse,68,0.3894328979922994,0.001029181740980379,192
continuous,mae,40,0.28484282817134693,0.07483272055154504,192
continuous,rmse,40,0.3585171675830462,0.02310675442974514,192
discrete_like,mae,28,0.4761904761904762,0.010419963437217608,192
discrete_like,rmse,28,0.4559386973180077,0.014750851253266162,192
non_differenced,mae,68,0.39346046104868476,0.0009021762098954342,192
non_differenced,rmse,68,0.3894328979922994,0.001029181740980379,192
