channel_id,channel,horizon_steps,window_minutes,missing_ratio,method,spectral_cosine,dominant_peak_preserved,high_frequency_inflation
3,channel_3,96,48.0,0.1,zero,0.5954480315207543,False,-0.054438049219342026
3,channel_3,96,48.0,0.1,zero,0.5854811781146279,False,0.012159289139459972
3,channel_3,96,48.0,0.1,zero,0.9188919735296749,False,-0.00587313141335867
3,channel_3,96,48.0,0.1,linear,1.0000000000000007,True,0.0
3,channel_3,96,48.0,0.1,linear,0.9999999999999997,True,0.0
3,channel_3,96,48.0,0.1,linear,1.0,True,0.0
3,channel_3,96,48.0,0.5,zero,0.750145782075173,False,-0.05231112595347254
3,channel_3,96,48.0,0.5,zero,0.8601610804595522,True,0.0075706465186433335
3,channel_3,96,48.0,0.5,zero,0.9280956584830081,False,-0.02115264767671023
3,channel_3,96,48.0,0.5,linear,1.0000000000000007,True,0.0
3,channel_3,96,48.0,0.5,linear,0.9999999999999997,True,0.0
3,channel_3,96,48.0,0.5,linear,1.0,True,0.0
3,channel_3,96,48.0,0.9,zero,0.38254117307535984,False,-0.06103190007682525
3,channel_3,96,48.0,0.9,zero,0.9767062036432554,True,-0.0005731749795793188
3,channel_3,96,48.0,0.9,zero,0.43259232228218686,False,-0.041437921763909896
3,channel_3,96,48.0,0.9,linear,0.3961639278224163,False,-0.062164025980915874
3,channel_3,96,48.0,0.9,linear,0.9913543475986957,True,-0.0007941494842736857
3,channel_3,96,48.0,0.9,linear,0.6638502466311371,False,-0.04224048623048918
12,channel_12,96,48.0,0.1,zero,0.897044545540108,False,-0.04079536171044426
12,channel_12,96,48.0,0.1,zero,0.6711582618314004,False,-0.05786871493913956
12,channel_12,96,48.0,0.1,zero,0.8068465271712244,False,-0.058464424628055296
12,channel_12,96,48.0,0.1,zero,0.9260361428520174,True,-0.039930722503841075
12,channel_12,96,48.0,0.1,zero,0.7857765002648847,False,-0.059594756584858855
12,channel_12,96,48.0,0.1,zero,0.877599952876057,False,-0.02973103861909333
12,channel_12,96,48.0,0.1,zero,0.9112687502573327,True,-0.022282194972475293
12,channel_12,96,48.0,0.1,zero,0.9671893309375602,False,-0.016895240472966137
12,channel_12,96,48.0,0.1,zero,0.8717228088514737,False,-0.05118454434479311
12,channel_12,96,48.0,0.1,zero,0.7689607705493975,False,-0.0604617106005494
12,channel_12,96,48.0,0.1,zero,0.7934177444496487,False,-0.036758456931290345
12,channel_12,96,48.0,0.1,zero,0.8431198171453779,False,-0.05724223747705392
12,channel_12,96,48.0,0.1,zero,0.8172112862847932,False,-0.0630369056303661
12,channel_12,96,48.0,0.1,zero,0.7902741201959694,False,-0.016988466942009683
12,channel_12,96,48.0,0.1,zero,0.8705022808377609,True,-0.040272676323113966
12,channel_12,96,48.0,0.1,zero,0.8964589033909579,False,-0.0466095217391511
12,channel_12,96,48.0,0.1,zero,0.8461699853542065,False,-0.05164538822040067
12,channel_12,96,48.0,0.1,zero,0.9122890012334189,False,-0.023332173738034742
12,channel_12,96,48.0,0.1,zero,0.9630419759307037,False,-0.023489327235209495
12,channel_12,96,48.0,0.1,zero,0.8638911106411431,False,-0.03647251123073174
12,channel_12,96,48.0,0.1,zero,0.9557792766940558,False,-0.020310485657852248
12,channel_12,96,48.0,0.1,zero,0.7415367733963636,False,-0.07941374202467649
12,channel_12,96,48.0,0.1,zero,0.8327827827451303,False,-0.03412135186526095
12,channel_12,96,48.0,0.1,zero,0.6231636262220188,False,0.010732167045960308
12,channel_12,96,48.0,0.1,zero,0.8578912797049297,False,-0.03719149142132244
12,channel_12,96,48.0,0.1,zero,0.8909395963263379,False,-0.041580865978314036
12,channel_12,96,48.0,0.1,zero,0.8705346365193573,False,-0.03001803090016565
12,channel_12,96,48.0,0.1,zero,0.8823546676795382,False,-0.046797774406925244
12,channel_12,96,48.0,0.1,zero,0.8444300673090184,False,-0.04569115678211129
12,channel_12,96,48.0,0.1,zero,0.7680998519914181,False,-0.06058620012717619
12,channel_12,96,48.0,0.1,zero,0.8576095421473613,False,-0.04698312457986772
12,channel_12,96,48.0,0.1,zero,0.7315458496377244,False,-0.07569750370418628
