record 116/799 index=3372 train=288 eval=31 loss=0.6877
record 117/799 index=123 train=318 eval=35 loss=0.6666
record 118/799 index=3531 train=302 eval=33 loss=0.6288
record 119/799 index=366 train=289 eval=32 loss=0.5157
record 120/799 index=2871 train=353 eval=39 loss=0.7620
record 121/799 index=2744 train=271 eval=30 loss=0.7756
record 122/799 index=3489 train=175 eval=19 loss=0.5178
record 123/799 index=2607 train=246 eval=27 loss=0.5658
record 124/799 index=1452 train=311 eval=34 loss=0.5647
record 125/799 index=1562 train=238 eval=26 loss=0.7251
record 126/799 index=1962 train=227 eval=25 loss=0.7469
record 127/799 index=921 train=252 eval=27 loss=0.8527
record 128/799 index=490 train=225 eval=25 loss=0.4032
record 129/799 index=1105 train=269 eval=29 loss=0.5915
record 130/799 index=784 train=272 eval=30 loss=0.5668
record 131/799 index=2970 train=298 eval=33 loss=0.3392
record 132/799 index=1957 train=306 eval=33 loss=0.5372
record 133/799 index=685 train=248 eval=27 loss=0.7766
record 134/799 index=3231 train=305 eval=33 loss=0.7989
record 135/799 index=2816 train=260 eval=28 loss=0.5238
record 136/799 index=3229 train=317 eval=35 loss=1.1157
record 137/799 index=1907 train=279 eval=31 loss=1.2232
record 138/799 index=2361 train=322 eval=35 loss=0.3972
record 139/799 index=2570 train=246 eval=27 loss=1.0325
record 140/799 index=2656 train=304 eval=33 loss=1.0085
record 141/799 index=3899 train=217 eval=24 loss=0.6419
record 142/799 index=481 train=375 eval=41 loss=1.1690
record 143/799 index=3880 train=225 eval=24 loss=0.9110
record 144/799 index=17 train=299 eval=33 loss=0.4442
record 145/799 index=968 train=307 eval=34 loss=0.7888
record 146/799 index=1668 train=281 eval=31 loss=0.7287
record 147/799 index=2630 train=330 eval=36 loss=0.3376
record 148/799 index=2470 train=284 eval=31 loss=0.6395
record 149/799 index=2236 train=297 eval=33 loss=0.7923
record 150/799 index=393 train=273 eval=30 loss=0.6852
record 151/799 index=1098 train=351 eval=39 loss=0.2073
record 152/799 index=3595 train=297 eval=32 loss=0.2994
record 153/799 index=3634 train=333 eval=36 loss=0.6302
record 154/799 index=1281 train=347 eval=38 loss=0.6088
record 155/799 index=517 train=239 eval=26 loss=0.7988
record 156/799 index=487 train=154 eval=17 loss=0.7232
record 157/799 index=796 train=361 eval=40 loss=0.6186
record 158/799 index=187 train=349 eval=38 loss=0.8874
record 159/799 index=988 train=305 eval=33 loss=0.8534
record 160/799 index=1947 train=251 eval=27 loss=0.2772
record 161/799 index=3457 train=280 eval=31 loss=0.3428
record 162/799 index=3369 train=278 eval=30 loss=0.4530
record 163/799 index=3348 train=269 eval=29 loss=0.8697
record 164/799 index=1271 train=238 eval=26 loss=0.4390
record 165/799 index=957 train=297 eval=33 loss=0.6057
record 166/799 index=2611 train=208 eval=23 loss=0.5545
record 167/799 index=1239 train=306 eval=33 loss=0.4754
record 168/799 index=823 train=283 eval=31 loss=0.8076
record 169/799 index=1208 train=294 eval=32 loss=1.0039
record 170/799 index=3532 train=315 eval=35 loss=0.9753
record 171/799 index=3768 train=287 eval=31 loss=1.0445
record 172/799 index=2876 train=258 eval=28 loss=0.7715
record 173/799 index=845 train=261 eval=29 loss=0.3705
record 174/799 index=98 train=360 eval=39 loss=0.3189
record 175/799 index=3666 train=343 eval=38 loss=0.6530
record 176/799 index=2943 train=259 eval=28 loss=0.9131
record 177/799 index=1463 train=280 eval=31 loss=0.7789
record 178/799 index=589 train=301 eval=33 loss=0.9860
record 179/799 index=1825 train=277 eval=30 loss=0.6678
record 180/799 index=1189 train=351 eval=39 loss=1.1546
record 181/799 index=94 train=262 eval=29 loss=0.8963
record 182/799 index=2627 train=186 eval=20 loss=0.7378
record 183/799 index=1410 train=280 eval=31 loss=0.7262
record 184/799 index=3057 train=287 eval=31 loss=0.7288
record 185/799 index=3061 train=239 eval=26 loss=0.4061
record 186/799 index=3693 train=263 eval=29 loss=0.5644
record 187/799 index=518 train=279 eval=31 loss=0.7507
record 188/799 index=1698 train=241 eval=26 loss=0.7336
record 189/799 index=724 train=249 eval=27 loss=0.8886
record 190/799 index=1669 train=245 eval=27 loss=0.4611
record 191/799 index=1196 train=335 eval=37 loss=0.6466
record 192/799 index=3728 train=314 eval=34 loss=0.1873
record 193/799 index=3845 train=338 eval=37 loss=0.7366
record 194/799 index=3988 train=226 eval=25 loss=0.9168
record 195/799 index=6 train=275 eval=30 loss=0.7500
record 196/799 index=1128 train=300 eval=33 loss=0.4724
record 197/799 index=3275 train=268 eval=29 loss=0.4076
record 198/799 index=3378 train=364 eval=40 loss=0.9080
record 199/799 index=2875 train=21 eval=2 loss=-1.2544
record 200/799 index=79 train=284 eval=31 loss=0.5841
record 201/799 index=710 train=332 eval=36 loss=0.5270
record 202/799 index=1565 train=344 eval=38 loss=0.4147
record 203/799 index=495 train=340 eval=37 loss=0.7276
record 204/799 index=203 train=298 eval=33 loss=1.2076
record 205/799 index=2688 train=287 eval=31 loss=0.5825
record 206/799 index=19 train=291 eval=32 loss=0.6489
record 207/799 index=3799 train=354 eval=39 loss=0.7065
record 208/799 index=560 train=269 eval=29 loss=0.5544
record 209/799 index=2297 train=294 eval=32 loss=0.6788
record 210/799 index=1094 train=318 eval=35 loss=0.2256
record 211/799 index=90 train=237 eval=26 loss=0.5979
record 212/799 index=1227 train=414 eval=45 loss=0.4312
record 213/799 index=1650 train=277 eval=30 loss=0.5004
record 214/799 index=3781 train=288 eval=31 loss=0.6773
record 215/799 index=2855 train=297 eval=33 loss=0.6355
record 216/799 index=1502 train=302 eval=33 loss=0.9487
record 217/799 index=3751 train=27 eval=2 loss=-0.4232
record 218/799 index=2117 train=323 eval=35 loss=0.3649
record 219/799 index=453 train=314 eval=34 loss=0.9971
record 220/799 index=2169 train=282 eval=31 loss=1.1300
record 221/799 index=1772 train=291 eval=32 loss=0.8787
record 222/799 index=1426 train=341 eval=37 loss=0.6122
record 223/799 index=2458 train=278 eval=30 loss=0.6926
record 224/799 index=2472 train=332 eval=36 loss=0.7481
record 225/799 index=2837 train=275 eval=30 loss=0.8367
record 226/799 index=986 train=304 eval=33 loss=0.5977
record 227/799 index=2765 train=289 eval=32 loss=0.3545
record 228/799 index=1089 train=346 eval=38 loss=0.5893
record 229/799 index=2204 train=297 eval=33 loss=0.4835
record 230/799 index=2756 train=234 eval=25 loss=0.7061
record 231/799 index=829 train=373 eval=41 loss=0.9698
record 232/799 index=1773 train=283 eval=31 loss=0.5402
record 233/799 index=996 train=216 eval=24 loss=0.3342
record 234/799 index=644 train=291 eval=32 loss=0.7239
record 235/799 index=2812 train=348 eval=38 loss=0.7785
record 236/799 index=3625 train=234 eval=26 loss=0.7829
record 237/799 index=965 train=348 eval=38 loss=0.5513
record 238/799 index=3076 train=293 eval=32 loss=0.6724
record 239/799 index=1026 train=180 eval=20 loss=0.8147
record 240/799 index=37 train=253 eval=28 loss=0.8325
record 241/799 index=2300 train=224 eval=24 loss=0.4904
record 242/799 index=1333 train=290 eval=32 loss=1.0585
record 243/799 index=3537 train=314 eval=34 loss=0.3857
record 244/799 index=3070 train=311 eval=34 loss=0.3140
record 245/799 index=2954 train=347 eval=38 loss=0.5259
record 246/799 index=3569 train=286 eval=31 loss=0.6797
record 247/799 index=1336 train=315 eval=35 loss=1.0563
record 248/799 index=3840 train=324 eval=35 loss=0.3213
record 249/799 index=756 train=252 eval=28 loss=0.7718
record 250/799 index=3624 train=334 eval=37 loss=0.6956
record 251/799 index=2925 train=378 eval=41 loss=0.1470
record 252/799 index=3483 train=203 eval=22 loss=0.6775
record 253/799 index=231 train=182 eval=20 loss=0.7803
record 254/799 index=3041 train=333 eval=36 loss=1.2044
record 255/799 index=3140 train=279 eval=31 loss=0.9231
record 256/799 index=1078 train=288 eval=32 loss=0.5980
record 257/799 index=2045 train=327 eval=36 loss=0.3793
record 258/799 index=662 train=272 eval=30 loss=1.0295
record 259/799 index=3806 train=421 eval=46 loss=0.7365
record 260/799 index=1448 train=283 eval=31 loss=0.6507
record 261/799 index=1038 train=303 eval=33 loss=1.2744
record 262/799 index=2573 train=335 eval=37 loss=0.6475
record 263/799 index=3696 train=351 eval=38 loss=0.7872
