record 102/799 index=136 train=20 eval=172 loss=1.6167
record 103/799 index=161 train=33 eval=289 loss=1.6116
record 104/799 index=1468 train=29 eval=259 loss=0.8126
record 105/799 index=3549 train=32 eval=280 loss=1.0402
record 106/799 index=389 train=20 eval=174 loss=1.2231
record 107/799 index=3195 train=34 eval=302 loss=1.0051
record 108/799 index=3706 train=43 eval=386 loss=1.2044
record 109/799 index=2930 train=33 eval=297 loss=2.0260
record 110/799 index=3043 train=21 eval=180 loss=1.8904
record 111/799 index=2555 train=40 eval=357 loss=0.7108
record 112/799 index=2579 train=33 eval=288 loss=1.3169
record 113/799 index=2448 train=27 eval=243 loss=1.2886
record 114/799 index=3504 train=30 eval=270 loss=1.5812
record 115/799 index=219 train=32 eval=286 loss=1.1815
record 116/799 index=3372 train=32 eval=287 loss=1.2124
record 117/799 index=123 train=36 eval=317 loss=1.2849
record 118/799 index=3531 train=34 eval=301 loss=1.2341
record 119/799 index=366 train=33 eval=288 loss=1.1714
record 120/799 index=2871 train=40 eval=352 loss=1.2280
record 121/799 index=2744 train=31 eval=270 loss=0.8709
record 122/799 index=3489 train=20 eval=174 loss=1.3895
record 123/799 index=2607 train=28 eval=245 loss=1.0660
record 124/799 index=1452 train=35 eval=310 loss=1.3162
record 125/799 index=1562 train=27 eval=237 loss=1.5812
record 126/799 index=1962 train=26 eval=226 loss=1.1325
record 127/799 index=921 train=28 eval=251 loss=1.6677
record 128/799 index=490 train=25 eval=225 loss=1.0749
record 129/799 index=1105 train=30 eval=268 loss=1.0587
record 130/799 index=784 train=31 eval=271 loss=2.6567
record 131/799 index=2970 train=34 eval=297 loss=1.2317
record 132/799 index=1957 train=34 eval=305 loss=1.0999
record 133/799 index=685 train=28 eval=247 loss=1.2098
record 134/799 index=3231 train=34 eval=304 loss=1.2899
record 135/799 index=2816 train=29 eval=259 loss=0.8358
record 136/799 index=3229 train=36 eval=316 loss=1.0893
record 137/799 index=1907 train=31 eval=279 loss=6.7255
record 138/799 index=2361 train=36 eval=321 loss=1.1327
record 139/799 index=2570 train=28 eval=245 loss=1.2666
record 140/799 index=2656 train=34 eval=303 loss=1.8437
record 141/799 index=3899 train=25 eval=216 loss=1.8855
record 142/799 index=481 train=42 eval=374 loss=3.2390
record 143/799 index=3880 train=25 eval=224 loss=1.0411
record 144/799 index=17 train=34 eval=298 loss=0.8458
record 145/799 index=968 train=35 eval=306 loss=1.8384
record 146/799 index=1668 train=32 eval=280 loss=1.7729
