record 1/799 index=200 train=5 eval=43 loss=-1.1085
record 2/799 index=2861 train=32 eval=282 loss=0.7690
record 3/799 index=610 train=34 eval=303 loss=-0.0418
record 4/799 index=1918 train=46 eval=411 loss=-0.1564
record 5/799 index=3561 train=35 eval=309 loss=0.1033
record 6/799 index=3391 train=41 eval=366 loss=0.3826
record 7/799 index=893 train=46 eval=408 loss=0.5077
record 8/799 index=2115 train=31 eval=270 loss=0.4069
record 9/799 index=1044 train=44 eval=390 loss=-0.0035
record 10/799 index=1792 train=50 eval=449 loss=0.2541
record 11/799 index=102 train=41 eval=364 loss=0.3097
record 12/799 index=2336 train=35 eval=313 loss=0.7870
record 13/799 index=3704 train=34 eval=302 loss=0.5939
record 14/799 index=941 train=25 eval=222 loss=0.0143
record 15/799 index=2325 train=21 eval=186 loss=0.5236
record 16/799 index=3906 train=41 eval=361 loss=-0.4291
record 17/799 index=420 train=34 eval=301 loss=0.6106
record 18/799 index=1164 train=37 eval=329 loss=-0.1442
record 19/799 index=2097 train=32 eval=285 loss=-0.5628
record 20/799 index=2745 train=32 eval=280 loss=0.7872
record 21/799 index=779 train=32 eval=284 loss=0.2614
record 22/799 index=3214 train=34 eval=303 loss=0.7301
record 23/799 index=3167 train=40 eval=355 loss=1.0364
record 24/799 index=557 train=35 eval=310 loss=-0.3328
record 25/799 index=1552 train=36 eval=316 loss=0.4187
record 26/799 index=351 train=36 eval=321 loss=0.5534
record 27/799 index=230 train=39 eval=343 loss=0.1140
record 28/799 index=2510 train=32 eval=282 loss=0.9122
record 29/799 index=3365 train=30 eval=261 loss=0.3202
record 30/799 index=3105 train=27 eval=238 loss=0.8782
record 31/799 index=1507 train=31 eval=275 loss=-0.0508
record 32/799 index=700 train=27 eval=241 loss=0.1710
record 33/799 index=349 train=39 eval=348 loss=0.4444
record 34/799 index=3778 train=29 eval=260 loss=1.0645
record 35/799 index=280 train=29 eval=254 loss=0.2629
record 36/799 index=1805 train=31 eval=270 loss=0.2966
record 37/799 index=630 train=27 eval=236 loss=0.7271
record 38/799 index=1751 train=37 eval=326 loss=0.2343
record 39/799 index=1249 train=36 eval=316 loss=0.0459
record 40/799 index=1236 train=31 eval=277 loss=0.4011
record 41/799 index=1163 train=38 eval=339 loss=1.1124
record 42/799 index=1846 train=30 eval=261 loss=0.1564
record 43/799 index=2929 train=32 eval=284 loss=0.7510
record 44/799 index=1766 train=46 eval=408 loss=0.2583
