missing_ratio,method,scale,bucket,group,channels,eval_points,rmse,mae,crps,model_kind,protocol_key,mask_family,severity,requested_missing_ratio,actual_missing_ratio
0.9,linear_interpolation,normalized,all,all_channels,76,835584,2.3539283802055717,0.8927383147715321,,structured_only_csdi,channel_dropout_missing_90,channel_dropout,90%,0.9,0.8947368421052632
0.34210526315789475,csdi,normalized,all,all_channels,76,319488,0.8910464798998531,0.22239356271725577,0.16827176693727663,structured_only_csdi,gap_onset,real_gap_case,onset,-1.0,0.34210526315789475
0.34210526315789475,forward_fill,normalized,all,all_channels,76,319488,0.92045171769239,0.32445400370768485,,structured_only_csdi,gap_onset,real_gap_case,onset,-1.0,0.34210526315789475
0.34210526315789475,linear_interpolation,normalized,all,all_channels,76,319488,0.92045171769239,0.32445400370768485,,structured_only_csdi,gap_onset,real_gap_case,onset,-1.0,0.34210526315789475
0.6842105263157895,csdi,normalized,all,all_channels,76,638976,2.666738744347284,1.0904862714501529,0.9319415494704409,structured_only_csdi,gap_sustained,real_gap_case,sustained,-1.0,0.6842105263157895
0.6842105263157895,forward_fill,normalized,all,all_channels,76,638976,2.6969953597385143,1.1445866758481433,,structured_only_csdi,gap_sustained,real_gap_case,sustained,-1.0,0.6842105263157895
0.6842105263157895,linear_interpolation,normalized,all,all_channels,76,638976,2.6969953597385143,1.1445866758481433,,structured_only_csdi,gap_sustained,real_gap_case,sustained,-1.0,0.6842105263157895
0.1,csdi,normalized,all,all_channels,76,93440,2.073963796699682,0.30691141929291665,0.2444319342901995,structured_only_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,all,all_channels,76,93440,0.8842419889589834,0.22408159012712275,,structured_only_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,all,all_channels,76,93440,0.6543912511790023,0.20096760785441578,,structured_only_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.5,csdi,normalized,all,all_channels,76,466944,0.8250302742012526,0.1698022191990236,0.13422598344997322,structured_only_csdi,random_missing_50,random,50%,0.5,0.5
0.5,forward_fill,normalized,all,all_channels,76,466944,0.7466831350584254,0.22039436993872735,,structured_only_csdi,random_missing_50,random,50%,0.5,0.5
0.5,linear_interpolation,normalized,all,all_channels,76,466944,0.6073713971221318,0.19253111259308753,,structured_only_csdi,random_missing_50,random,50%,0.5,0.5
0.9,csdi,normalized,all,all_channels,76,840448,0.9357581565720436,0.2369931349627888,0.19176314740012873,structured_only_csdi,random_missing_90,random,90%,0.9,0.8999451754385965
0.9,forward_fill,normalized,all,all_channels,76,840448,1.0408042847713803,0.28938644708506606,,structured_only_csdi,random_missing_90,random,90%,0.9,0.8999451754385965
0.9,linear_interpolation,normalized,all,all_channels,76,840448,0.6682551083211318,0.19664670592599498,,structured_only_csdi,random_missing_90,random,90%,0.9,0.8999451754385965
0.1,csdi,normalized,all,all_channels,76,92160,1.0069404624252865,0.21947513247581962,0.1814398738649494,structured_only_csdi,rectangle_missing_10,rectangle,10%,0.1,0.09868421052631579
0.1,forward_fill,normalized,all,all_channels,76,92160,1.008472064243393,0.2548758946433534,,structured_only_csdi,rectangle_missing_10,rectangle,10%,0.1,0.09868421052631579
0.1,linear_interpolation,normalized,all,all_channels,76,92160,0.9344846974172117,0.2067394775196994,,structured_only_csdi,rectangle_missing_10,rectangle,10%,0.1,0.09868421052631579
0.5,csdi,normalized,all,all_channels,76,470016,0.8163009609192523,0.17980586616793948,0.14522380161016007,structured_only_csdi,rectangle_missing_50,rectangle,50%,0.5,0.5032894736842105
0.5,forward_fill,normalized,all,all_channels,76,470016,0.8801138267791292,0.2742560731589164,,structured_only_csdi,rectangle_missing_50,rectangle,50%,0.5,0.5032894736842105
0.5,linear_interpolation,normalized,all,all_channels,76,470016,0.8157811250198178,0.24024170705768064,,structured_only_csdi,rectangle_missing_50,rectangle,50%,0.5,0.5032894736842105
0.9,csdi,normalized,all,all_channels,76,838656,0.9620229542007261,0.2638816933002099,0.21424174999657655,structured_only_csdi,rectangle_missing_90,rectangle,90%,0.9,0.8980263157894737
0.9,forward_fill,normalized,all,all_channels,76,838656,1.052110199986073,0.43104116322427766,,structured_only_csdi,rectangle_missing_90,rectangle,90%,0.9,0.8980263157894737
0.9,linear_interpolation,normalized,all,all_channels,76,838656,0.7643411860253295,0.2511324579778737,,structured_only_csdi,rectangle_missing_90,rectangle,90%,0.9,0.8980263157894737
0.1,csdi,normalized,all,all_channels,76,97280,1.4503257390130555,0.2617214434842888,0.20784174018542234,structured_only_csdi,time_block_missing_10,time_block,10%,0.1,0.10416666666666667
0.1,forward_fill,normalized,all,all_channels,76,97280,0.6519909884301612,0.20614121177618233,,structured_only_csdi,time_block_missing_10,time_block,10%,0.1,0.10416666666666667
0.1,linear_interpolation,normalized,all,all_channels,76,97280,0.5510623233885393,0.18007490332695997,,structured_only_csdi,time_block_missing_10,time_block,10%,0.1,0.10416666666666667
0.5,csdi,normalized,all,all_channels,76,466944,0.7952175695208706,0.17942638029804434,0.138511884777565,structured_only_csdi,time_block_missing_50,time_block,50%,0.5,0.5
0.5,forward_fill,normalized,all,all_channels,76,466944,0.7737563192103546,0.261078611952347,,structured_only_csdi,time_block_missing_50,time_block,50%,0.5,0.5
0.5,linear_interpolation,normalized,all,all_channels,76,466944,0.7494346681133449,0.21870906560686085,,structured_only_csdi,time_block_missing_50,time_block,50%,0.5,0.5
0.9,csdi,normalized,all,all_channels,76,836608,0.9082717528766671,0.23813592189200553,0.1938697137818406,structured_only_csdi,time_block_missing_90,time_block,90%,0.9,0.8958333333333334
0.9,forward_fill,normalized,all,all_channels,76,836608,0.8525037848818086,0.31283053384438136,,structured_only_csdi,time_block_missing_90,time_block,90%,0.9,0.8958333333333334
0.9,linear_interpolation,normalized,all,all_channels,76,836608,0.7752503256957098,0.2537352337055594,,structured_only_csdi,time_block_missing_90,time_block,90%,0.9,0.8958333333333334
0.1,csdi,normalized,all,all_channels,76,98304,1.0421553159556047,0.5006325001456607,0.41082939480746444,mix_csdi,channel_dropout_missing_10,channel_dropout,10%,0.1,0.10526315789473684
0.1,forward_fill,normalized,all,all_channels,76,98304,1.1855920154409623,0.7793418279089982,,mix_csdi,channel_dropout_missing_10,channel_dropout,10%,0.1,0.10526315789473684
0.1,linear_interpolation,normalized,all,all_channels,76,98304,1.1855920154409623,0.7793418279089982,,mix_csdi,channel_dropout_missing_10,channel_dropout,10%,0.1,0.10526315789473684
0.5,csdi,normalized,all,all_channels,76,466944,2.117049072328036,0.5904557640348331,0.5013108502761107,mix_csdi,channel_dropout_missing_50,channel_dropout,50%,0.5,0.5
0.5,forward_fill,normalized,all,all_channels,76,466944,2.1863487297451893,0.8651200764855599,,mix_csdi,channel_dropout_missing_50,channel_dropout,50%,0.5,0.5
0.5,linear_interpolation,normalized,all,all_channels,76,466944,2.1863487297451893,0.8651200764855599,,mix_csdi,channel_dropout_missing_50,channel_dropout,50%,0.5,0.5
0.9,csdi,normalized,all,all_channels,76,835584,2.330879313284782,0.6784428874361409,0.5701834341376167,mix_csdi,channel_dropout_missing_90,channel_dropout,90%,0.9,0.8947368421052632
0.9,forward_fill,normalized,all,all_channels,76,835584,2.3539283802055717,0.8927383147715321,,mix_csdi,channel_dropout_missing_90,channel_dropout,90%,0.9,0.8947368421052632
0.9,linear_interpolation,normalized,all,all_channels,76,835584,2.3539283802055717,0.8927383147715321,,mix_csdi,channel_dropout_missing_90,channel_dropout,90%,0.9,0.8947368421052632
0.34210526315789475,csdi,normalized,all,all_channels,76,319488,1.381428588626513,0.2973460738001636,0.2356668344062067,mix_csdi,gap_onset,real_gap_case,onset,-1.0,0.34210526315789475
0.34210526315789475,forward_fill,normalized,all,all_channels,76,319488,0.92045171769239,0.32445400370768485,,mix_csdi,gap_onset,real_gap_case,onset,-1.0,0.34210526315789475
0.34210526315789475,linear_interpolation,normalized,all,all_channels,76,319488,0.92045171769239,0.32445400370768485,,mix_csdi,gap_onset,real_gap_case,onset,-1.0,0.34210526315789475
0.6842105263157895,csdi,normalized,all,all_channels,76,638976,2.695672372696046,1.1288997209750307,0.9395569381992209,mix_csdi,gap_sustained,real_gap_case,sustained,-1.0,0.6842105263157895
0.6842105263157895,forward_fill,normalized,all,all_channels,76,638976,2.6969953597385143,1.1445866758481433,,mix_csdi,gap_sustained,real_gap_case,sustained,-1.0,0.6842105263157895
0.6842105263157895,linear_interpolation,normalized,all,all_channels,76,638976,2.6969953597385143,1.1445866758481433,,mix_csdi,gap_sustained,real_gap_case,sustained,-1.0,0.6842105263157895
0.1,csdi,normalized,all,all_channels,76,93440,0.9768808288203512,0.1574099126830383,0.12588772800456768,mix_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,all,all_channels,76,93440,0.8842419889589834,0.22408159012712275,,mix_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,all,all_channels,76,93440,0.6543912511790023,0.20096760785441578,,mix_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.5,csdi,normalized,all,all_channels,76,466944,0.8708449581575456,0.16240567442321407,0.12849169135497537,mix_csdi,random_missing_50,random,50%,0.5,0.5
0.5,forward_fill,normalized,all,all_channels,76,466944,0.7466831350584254,0.22039436993872735,,mix_csdi,random_missing_50,random,50%,0.5,0.5
0.5,linear_interpolation,normalized,all,all_channels,76,466944,0.6073713971221318,0.19253111259308753,,mix_csdi,random_missing_50,random,50%,0.5,0.5
0.9,csdi,normalized,all,all_channels,76,840448,1.0987497807957465,0.2472591959431594,0.20510341428339898,mix_csdi,random_missing_90,random,90%,0.9,0.8999451754385965
0.9,forward_fill,normalized,all,all_channels,76,840448,1.0408042847713803,0.28938644708506606,,mix_csdi,random_missing_90,random,90%,0.9,0.8999451754385965
0.9,linear_interpolation,normalized,all,all_channels,76,840448,0.6682551083211318,0.19664670592599498,,mix_csdi,random_missing_90,random,90%,0.9,0.8999451754385965
0.1,csdi,normalized,all,all_channels,76,92160,0.8643277212979,0.17750022583213143,0.1416546333258024,mix_csdi,rectangle_missing_10,rectangle,10%,0.1,0.09868421052631579
0.1,forward_fill,normalized,all,all_channels,76,92160,1.008472064243393,0.2548758946433534,,mix_csdi,rectangle_missing_10,rectangle,10%,0.1,0.09868421052631579
0.1,linear_interpolation,normalized,all,all_channels,76,92160,0.9344846974172117,0.2067394775196994,,mix_csdi,rectangle_missing_10,rectangle,10%,0.1,0.09868421052631579
0.5,csdi,normalized,all,all_channels,76,470016,1.1671095485276162,0.24243026656425257,0.20330019067095118,mix_csdi,rectangle_missing_50,rectangle,50%,0.5,0.5032894736842105
0.5,forward_fill,normalized,all,all_channels,76,470016,0.8801138267791292,0.2742560731589164,,mix_csdi,rectangle_missing_50,rectangle,50%,0.5,0.5032894736842105
0.5,linear_interpolation,normalized,all,all_channels,76,470016,0.8157811250198178,0.24024170705768064,,mix_csdi,rectangle_missing_50,rectangle,50%,0.5,0.5032894736842105
0.9,csdi,normalized,all,all_channels,76,838656,1.317848798934284,0.3006136050493867,0.2530001455129808,mix_csdi,rectangle_missing_90,rectangle,90%,0.9,0.8980263157894737
0.9,forward_fill,normalized,all,all_channels,76,838656,1.052110199986073,0.43104116322427766,,mix_csdi,rectangle_missing_90,rectangle,90%,0.9,0.8980263157894737
0.9,linear_interpolation,normalized,all,all_channels,76,838656,0.7643411860253295,0.2511324579778737,,mix_csdi,rectangle_missing_90,rectangle,90%,0.9,0.8980263157894737
0.1,csdi,normalized,all,all_channels,76,97280,0.6161619807601809,0.15954523001165685,0.12620584195328813,mix_csdi,time_block_missing_10,time_block,10%,0.1,0.10416666666666667
0.1,forward_fill,normalized,all,all_channels,76,97280,0.6519909884301612,0.20614121177618233,,mix_csdi,time_block_missing_10,time_block,10%,0.1,0.10416666666666667
0.1,linear_interpolation,normalized,all,all_channels,76,97280,0.5510623233885393,0.18007490332695997,,mix_csdi,time_block_missing_10,time_block,10%,0.1,0.10416666666666667
0.5,csdi,normalized,all,all_channels,76,466944,1.0577737784014423,0.2151997907685794,0.16968187578133534,mix_csdi,time_block_missing_50,time_block,50%,0.5,0.5
0.5,forward_fill,normalized,all,all_channels,76,466944,0.7737563192103546,0.261078611952347,,mix_csdi,time_block_missing_50,time_block,50%,0.5,0.5
0.5,linear_interpolation,normalized,all,all_channels,76,466944,0.7494346681133449,0.21870906560686085,,mix_csdi,time_block_missing_50,time_block,50%,0.5,0.5
0.9,csdi,normalized,all,all_channels,76,836608,1.278444668764377,0.2772060603959555,0.2315272658244147,mix_csdi,time_block_missing_90,time_block,90%,0.9,0.8958333333333334
0.9,forward_fill,normalized,all,all_channels,76,836608,0.8525037848818086,0.31283053384438136,,mix_csdi,time_block_missing_90,time_block,90%,0.9,0.8958333333333334
0.9,linear_interpolation,normalized,all,all_channels,76,836608,0.7752503256957098,0.2537352337055594,,mix_csdi,time_block_missing_90,time_block,90%,0.9,0.8958333333333334
